prepared_state,measured_0,measured_1,error_rate,error_type,noise_strength,gate_count,circuit_depth,has_h_gate
1,495,529,0.001953125,depolarizing,0.10657210681170834,12,14,1
1,522,502,0.0185546875,readout,0.06731359093429835,10,12,1
1,530,494,0.0185546875,readout,0.3593985799672241,16,18,1
0,520,504,0.0009765625,readout,0.4064687003019106,5,6,1
0,483,541,0.4716796875,phase_flip,0.36378850780187094,6,7,1
1,516,508,0.0009765625,bit_flip,0.3336422273527253,14,16,1
0,516,508,0.50390625,phase_flip,0.4396302060188685,8,9,1
0,486,538,0.388671875,phase_flip,0.4394574662721023,11,12,1
0,307,717,0.1865234375,readout,0.22679019419062246,7,8,1
0,455,569,0.4443359375,phase_flip,0.28910447586290877,11,12,1
0,357,667,0.2763671875,phase_flip,0.06204909232997534,14,15,1
0,248,776,0.2421875,readout,0.23621046441380755,5,6,0
0,510,514,0.0009765625,bit_flip,0.10897820130116882,19,20,1
1,493,531,0.015625,phase_flip,0.2457865763651325,5,7,0
1,571,453,0.2861328125,depolarizing,0.10155033345467757,16,18,1
0,219,805,0.06640625,readout,0.08276545713486373,11,12,1
0,504,520,0.0068359375,readout,0.04743419503856676,16,17,1
1,591,433,0.28515625,readout,0.4269230731658089,19,21,1
0,460,564,0.197265625,depolarizing,0.19058156749590968,10,11,1
1,505,519,0.2470703125,bit_flip,0.18795838750623942,19,21,1
0,272,752,0.265625,phase_flip,0.10765958281118644,6,7,1
0,517,507,0.0126953125,depolarizing,0.08661889712117372,8,9,0
1,780,244,0.083984375,phase_flip,0.04175186902326392,11,13,1
0,519,505,0.5068359375,depolarizing,0.34006023948748,19,20,1
1,274,750,0.1015625,depolarizing,0.03862668020596595,12,14,1
0,502,522,0.3662109375,depolarizing,0.18680286724572778,16,17,1
1,974,50,0.048828125,readout,0.056099286681736915,6,8,1
1,487,537,0.3212890625,depolarizing,0.41227934805454614,9,11,1
0,518,506,0.0087890625,readout,0.3494095873321004,19,20,1
1,529,495,0.0166015625,phase_flip,0.36903282155551187,7,9,1
1,484,540,0.396484375,depolarizing,0.32017626411032196,15,17,1
1,275,749,0.1044921875,readout,0.17709179409287643,16,18,1
1,512,512,0.0146484375,bit_flip,0.24222323638626833,18,20,0
0,495,529,0.0078125,depolarizing,0.25985041048006313,7,8,1
0,526,498,0.0234375,phase_flip,0.22028569774625664,10,11,1
0,514,510,0.234375,depolarizing,0.3511168112815232,19,20,1
1,364,660,0.2119140625,readout,0.2699092869081435,14,16,1
0,528,496,0.001953125,phase_flip,0.09233968123664642,13,14,1
1,510,514,0.498046875,bit_flip,0.14902457313488188,12,14,1
1,538,486,0.3251953125,depolarizing,0.18460156027352864,13,15,1
1,496,528,0.0234375,phase_flip,0.05303046462903372,11,13,0
1,518,506,0.0341796875,phase_flip,0.41071665203762464,12,14,1
1,525,499,0.5126953125,phase_flip,0.3055489709985673,10,12,1
0,501,523,0.5107421875,bit_flip,0.22741293007618243,15,16,1
1,508,516,0.0087890625,phase_flip,0.19002860593468107,9,11,1
1,99,925,0.0966796875,phase_flip,0.0915454629430689,8,10,0
0,509,515,0.01171875,depolarizing,0.3343178940213054,9,10,1
1,669,355,0.2041015625,phase_flip,0.10368482838357376,9,11,1
1,520,504,0.0029296875,phase_flip,0.06064494122207023,19,21,1
0,525,499,0.2685546875,depolarizing,0.4399141750487129,19,20,1
1,526,498,0.0009765625,bit_flip,0.04010070171300065,6,8,1
0,533,491,0.0107421875,readout,0.10794425033840004,8,9,1
1,508,516,0.263671875,depolarizing,0.19541967469392468,18,20,1
0,252,772,0.0166015625,readout,0.045188006652796854,19,20,1
0,517,507,0.5048828125,depolarizing,0.40429095718105423,15,16,1
1,559,465,0.4013671875,depolarizing,0.41426795164635644,11,13,1
1,509,515,0.3505859375,depolarizing,0.34664644568448305,9,11,1
1,519,505,0.0078125,bit_flip,0.0947674879671252,8,10,1
0,325,699,0.1650390625,readout,0.2645269525395046,12,13,1
0,729,295,0.142578125,readout,0.22065726940801897,6,7,1
1,496,528,0.015625,phase_flip,0.21988880777101374,18,20,1
0,515,509,0.2724609375,depolarizing,0.2117255775665335,19,20,1
0,514,510,0.3564453125,phase_flip,0.086626397917058,17,18,1
1,587,437,0.4267578125,readout,0.42510534022784935,17,19,1
1,484,540,0.0224609375,phase_flip,0.2641175035405358,13,15,1
0,505,519,0.0078125,phase_flip,0.0929575682487161,17,18,1
1,507,517,0.009765625,bit_flip,0.3981063187902057,10,12,1
0,506,518,0.0078125,phase_flip,0.3741359861491302,8,9,1
0,464,560,0.1923828125,readout,0.3833239106083618,11,12,1
1,514,510,0.0087890625,depolarizing,0.17559818317610398,13,15,1
1,518,506,0.3681640625,phase_flip,0.29229798606961604,5,7,1
0,505,519,0.0107421875,depolarizing,0.26935183922565287,10,11,0
1,520,504,0.0087890625,phase_flip,0.18756381778560607,8,10,1
1,539,485,0.0185546875,depolarizing,0.20113443575834547,7,9,1
1,537,487,0.0087890625,bit_flip,0.28693536296474054,13,15,1
1,527,497,0.0009765625,phase_flip,0.42551040820862296,16,18,1
0,429,595,0.4189453125,bit_flip,0.10149037691880741,9,10,0
1,534,490,0.0048828125,phase_flip,0.2579147902879193,9,11,1
0,665,359,0.2158203125,readout,0.28432919822833386,14,15,1
1,844,180,0.0380859375,readout,0.05191280913749732,18,20,1
1,530,494,0.0009765625,depolarizing,0.12913887872516241,12,14,1
1,358,666,0.349609375,depolarizing,0.0833688940317786,12,14,1
1,486,538,0.2783203125,depolarizing,0.20758272525714086,17,19,1
0,493,531,0.3359375,depolarizing,0.15750416403175396,16,17,1
0,610,414,0.33203125,bit_flip,0.0628234770141456,17,18,1
0,511,513,0.0322265625,depolarizing,0.038994068899194476,19,20,1
1,479,545,0.32421875,phase_flip,0.2533526257700015,19,21,1
1,389,635,0.2216796875,readout,0.35006537546182026,17,19,1
1,513,511,0.5009765625,bit_flip,0.2424593463904194,9,11,1
0,482,542,0.470703125,bit_flip,0.1838244594478411,5,6,0
1,509,515,0.0146484375,phase_flip,0.3810433149492456,8,10,0
1,500,524,0.345703125,bit_flip,0.29972667352317234,19,21,1
0,530,494,0.3798828125,depolarizing,0.4067119429285799,10,11,1
1,381,643,0.3720703125,depolarizing,0.09274011921469602,18,20,1
1,315,709,0.06640625,bit_flip,0.027967718083799865,12,14,1
0,496,528,0.0078125,readout,0.16007822733113258,8,9,1
1,520,504,0.0068359375,bit_flip,0.2546988465382994,13,15,1
1,534,490,0.0126953125,depolarizing,0.28147590419785645,11,13,1
0,512,512,0.0087890625,phase_flip,0.2059281221421475,12,13,1
0,517,507,0.353515625,phase_flip,0.4401915022087555,11,12,1
0,529,495,0.224609375,phase_flip,0.127263821477006,19,20,1
0,516,508,0.0068359375,depolarizing,0.1813976016148379,12,13,1
0,494,530,0.01953125,depolarizing,0.37041631587331797,6,7,1
0,476,548,0.068359375,phase_flip,0.30706717067847106,16,17,1
0,500,524,0.04296875,readout,0.08585360816084119,19,20,1
1,499,525,0.0498046875,depolarizing,0.14969633524801898,19,21,1
0,316,708,0.30859375,bit_flip,0.033135729442838824,13,14,0
0,507,517,0.5048828125,depolarizing,0.19521352950183998,15,16,1
1,504,520,0.4921875,bit_flip,0.28317664873609105,11,13,1
0,505,519,0.3740234375,depolarizing,0.4075453571945551,15,16,1
1,549,475,0.4638671875,phase_flip,0.27261550610140123,8,10,1
1,508,516,0.0234375,depolarizing,0.1336969360268294,6,8,1
1,515,509,0.3505859375,bit_flip,0.2904537412031323,11,13,1
0,523,501,0.009765625,readout,0.41854747107971285,6,7,1
0,531,493,0.005859375,readout,0.3208389274916753,6,7,1
0,502,522,0.2392578125,bit_flip,0.24672723825371293,18,19,1
0,536,488,0.0400390625,depolarizing,0.4095725929321804,7,8,1
1,470,554,0.02734375,readout,0.12436880569099706,9,11,1
1,518,506,0.23828125,bit_flip,0.33751242048897695,12,14,1
0,480,544,0.3193359375,phase_flip,0.18710798197516113,17,18,1
0,533,491,0.236328125,depolarizing,0.1554235090520847,19,20,1
0,393,631,0.24609375,bit_flip,0.14166876293455596,5,6,1
1,570,454,0.443359375,phase_flip,0.10495170501656083,17,19,1
1,496,528,0.044921875,depolarizing,0.3877983545822851,5,7,1
0,527,497,0.0009765625,bit_flip,0.10398123789042625,9,10,1
0,492,532,0.322265625,bit_flip,0.43125974017740565,19,20,1
0,10,1014,0.009765625,readout,0.014563005972281693,18,19,1
0,506,518,0.0146484375,depolarizing,0.23521633110190923,5,6,1
1,550,474,0.337890625,bit_flip,0.05452213436236621,19,21,1
1,518,506,0.0185546875,phase_flip,0.29230280877647224,5,7,0
1,493,531,0.259765625,phase_flip,0.4103714133928499,13,15,1
1,522,502,0.015625,phase_flip,0.10603951326853019,12,14,1
1,518,506,0.0146484375,readout,0.2202244490321901,18,20,1
0,506,518,0.34765625,phase_flip,0.11753449870827466,18,19,1
1,513,511,0.3466796875,depolarizing,0.35853681927423897,17,19,1
0,511,513,0.0009765625,depolarizing,0.3196733163755505,13,14,1
1,501,523,0.330078125,depolarizing,0.16004252493399818,19,21,1
1,798,226,0.07421875,readout,0.12761922911602286,9,11,1
1,545,479,0.05078125,readout,0.19719293460686307,9,11,1
0,511,513,0.5009765625,depolarizing,0.36224438931218883,12,13,1
0,506,518,0.3486328125,depolarizing,0.3958421404494603,15,16,1
0,495,529,0.4833984375,bit_flip,0.2999907739661658,12,13,1
0,494,530,0.015625,phase_flip,0.07209642894377953,6,7,1
0,509,515,0.0185546875,depolarizing,0.4302852023062127,5,6,1
0,538,486,0.009765625,bit_flip,0.29702740590745497,12,13,1
1,33,991,0.0322265625,readout,0.03900836333407844,8,10,0
1,533,491,0.0234375,readout,0.3610803804324891,13,15,1
0,517,507,0.0,depolarizing,0.1093986500911846,10,11,1
0,509,515,0.013671875,phase_flip,0.02063274447393975,7,8,1
1,489,535,0.240234375,bit_flip,0.1801775979166957,14,16,1
0,513,511,0.3388671875,depolarizing,0.4453475118390713,5,6,1
1,551,473,0.5380859375,depolarizing,0.4467307857340021,19,21,1
1,497,527,0.0283203125,readout,0.07030549407389176,7,9,1
1,501,523,0.3388671875,depolarizing,0.13193737988400336,18,20,1
1,512,512,0.01171875,bit_flip,0.05497089757775852,6,8,1
1,510,514,0.501953125,phase_flip,0.28027884699712835,7,9,1
0,497,527,0.375,phase_flip,0.3940962148097507,7,8,1
1,537,487,0.3212890625,depolarizing,0.3177129843589437,10,12,1
0,508,516,0.0244140625,readout,0.31055524475972324,5,6,1
1,424,600,0.2568359375,bit_flip,0.11898548908396665,14,16,1
1,481,543,0.04296875,bit_flip,0.14702396642849153,11,13,1
0,523,501,0.00390625,phase_flip,0.3058376466260922,7,8,1
0,507,517,0.021484375,depolarizing,0.11945190797176942,18,19,1
1,546,478,0.318359375,depolarizing,0.26379824036868743,12,14,1
1,537,487,0.2880859375,bit_flip,0.22552365384308853,10,12,1
